author,bvid,title,play,video_review,favorites,review,date
波士顿圆脸,BV1kw411372z,爱泼斯坦案如何牵出霍金？法院庭审材料再揭谜团,2330541,19235,11626,11293,1704451286
梗百科,BV1SG411q71H,【梗百科】霍金奔向萝莉岛是啥梗？,3734252,4682,21554,10453,1704449824
波士顿圆脸,BV1db4y1A7UZ,非法移民危机转折中的得克萨斯与四年前的预言,2996143,26382,14447,9248,1706431975
戏京同志,BV1Nt4y1o7oB,"开年第四炸，萝莉岛逼出百官行述，<em class=""keyword"">特朗普</em>强势回归！",5570363,11730,89597,7989,1704797121
戏京同志,BV1Nt4y1o7oB,开年第四炸，萝莉岛逼出百官行述，特朗普强势回归！,5570363,11730,89597,7989,1704797121
浩哥奇丑无比,BV1s1421r7NX,"你听好了，<em class=""keyword"">特朗普</em>必输无疑！",478686,622,2697,6087,1719743926
浩哥奇丑无比,BV1s1421r7NX,你听好了，特朗普必输无疑！,478686,622,2697,6087,1719743926
波士顿圆脸,BV1N94y1K7YY,"没证据靠投票来判断<em class=""keyword"">懂王</em>强奸？美国法治痛虐MAGA心",1840483,18421,5870,5626,1705580018
梗指南,BV1pe411e7Rw,霍金奔向萝莉岛是什么梗【梗指南】,2042740,2161,7483,5551,1704713134
戏京同志,BV1ve41117w5,"开年第八炸，2024<em class=""keyword"">特朗普</em>首战大捷！",3081635,13821,29910,5469,1705486017
戏京同志,BV1ve41117w5,开年第八炸，2024特朗普首战大捷！,3081635,13821,29910,5469,1705486017
毒舌的南瓜,BV1A6421F783,在美国第一畅销书里，中国居然天下无敌？！【毒舌的南瓜】,2373592,42496,27355,5371,1710571673
美国人有话说,BV1yf421Q7AV,美国MAGA：在美国只工作8个小时你就等着饿死吧,395029,1010,3442,5098,1719228637
鱼小棠_,BV1ja4y117GB,"我帮你看了近千页的庭审材料：霍金真的无辜吗？<em class=""keyword"">川普</em>、MJ、小李子去过吗？爱泼斯坦的受害者有一万人吗？",287878,513,14953,4242,1705126035
鱼小棠_,BV1ja4y117GB,我帮你看了近千页的庭审材料：霍金真的无辜吗？川普、MJ、小李子去过吗？爱泼斯坦的受害者有一万人吗？,287878,513,14953,4242,1705126035
波士顿圆脸,BV1H4421F7Ys,赔款四亿美元！懂王又一案件被判，约15%财富缩水,1204484,2872,3495,4061,1708161192
俄罗斯卫星通讯社官网,BV13n4y1X74f,【俄罗斯卫星通讯社】特朗普的胜利：俄罗斯卫星通讯社展示如何用一个表情包转述美国总统辩论的结果,3007948,4612,122821,4000,1719596937
戏京同志,BV1Tk4y1f7J1,开年第十一炸，得州变天了？,3920359,8268,22097,3974,1706520729
波士顿圆脸,BV1Hx42197eq,泰勒斯威夫特是&quot;收五角大楼脏钱民主党宣传党工&quot;吗？,1166342,4374,3059,3925,1706867262
燕三嘤嘤嘤,BV1rt421378r,"<em class=""keyword"">懂王</em>跟拜登都在愁什么",3551202,24484,48602,3859,1711684285
JacksonHinkle,BV1qt421c73L,对话Alex Jones：怎么让美国极右翼理解共产主义,727154,7131,7016,3843,1714662676
波士顿圆脸,BV1mj421D7Jp,"<em class=""keyword"">懂王</em>推出五星黄金限量球鞋！1000双1秒售罄",1648856,10144,4210,3588,1708345522
波士顿圆脸,BV1Pm42157S8,2024美国大选首场辩论 热点与细节有哪些？,2214700,21871,10453,3497,1719580939
毒舌的南瓜,BV13Z421g7dc,《美国内战》就像巧克力，人吃了没事，狗吃了会死【毒舌的南瓜】,2491030,18542,20589,3492,1717833600
麻薯波比呀,BV1SK411h7iF,德州硬刚联邦政府，美国快进到内战剧本？,2137944,8245,13108,3479,1706517000
树根龙门阵,BV1YD421J7M8,一部电影 吓坏润人,1082133,5371,9906,3413,1713952785
美国人有话说,BV1pJ4m1H7ei,美国又一布什内尔，自焚前高唱《革命歌》，号召美国人是时候起来革命！,907268,1879,12280,3317,1713621907
