author,bvid,title,play,video_review,favorites,review,date
小编剧还珠,BV1Hs411i7QN,【电影宣传】大表姐怒斥特朗普,811133,964,5428,693,1464334409
柚子木字幕组,BV1Ds411B7Nv,"【社会实验】在大街上举着<em class=""keyword"">川普</em>的牌子拉票会发生什么@柚子木字幕组",449755,2450,2215,1164,1463642414
pandapia熊猫乌托邦,BV1gs411R7UC,《大话熊猫》第2季 第9话 熊娃子要上天！,343488,3597,2200,269,1452152129
柚子木字幕组,BV1Ks41167r9,"美国熊孩子看到唐纳德·<em class=""keyword"">川普</em>的反应 @柚子木字幕组",91701,1925,1065,677,1461217450
pandapia熊猫乌托邦,BV1ps411Q7tt,成为熊猫大使，体验“奶爸、奶妈”，机会在这里！,71861,220,217,108,1456993848
柚子木字幕组,BV1Gs411i7X8,"19个你可能不知道的支持<em class=""keyword"">川普</em>的名人@柚子木字幕组",60700,586,409,439,1463998334
zhilinhaha,BV1Js411q72q,"所有特朗普（<em class=""keyword"">川普</em>）参演的电影电视剧客串片场 Every Donald Trump Cameo Ever",59462,263,642,72,1465857820
油兔字幕组,BV1Qs411e7FN,"【爆笑神恶搞】腹黑老爷爷，带你玩遍<em class=""keyword"">川普</em>梗@油兔不二字幕组",47262,72,519,19,1466222796
小长颈鹿哥哥,BV1Rs411B795,"美国小孩怎么吐槽<em class=""keyword"">川普</em>",43166,143,458,38,1459284412
柚子木字幕组,BV1Qs411q7ct,"【8Bit哲学】<em class=""keyword"">川普</em>的出现是否预示着政治的终结 @柚子木字幕组",35288,344,662,187,1462256679
幻花天影,BV1Cs411i7Wu,"德普与珍妮弗劳伦斯嘲讽<em class=""keyword"">川普</em>，德普将会扮演<em class=""keyword"">川普</em>",31237,58,376,9,1464937926
柚子木字幕组,BV1Ss411B7ig,"囧橄榄没想到他必须得关注<em class=""keyword"">川普</em>了@柚子木字幕组",27898,148,220,108,1463646961
winsul,BV1ps411i7A8,"伯尼桑德斯与唐纳德<em class=""keyword"">川普</em>（大统领）的世纪辩论",23254,100,134,9,1464336954
马克Malik,BV1ss411z7Ny,"【马克叔实力模仿】<em class=""keyword"">川普</em> 床破 Donald Trump",18993,215,143,41,1460245908
我家的脑洞君,BV1Cs411i7Zi,"【PewDiePie双语／无字】（剃胡子？）你们会杀了<em class=""keyword"">川普</em>吗？",15602,95,168,37,1464918638
大宝剑联盟,BV1Vs411q7ND,"Miranda：声情并茂朗读<em class=""keyword"">川普</em>推文 @大宝剑娘",12175,82,99,140,1465633742
北北儿的后花园,BV1Hs41197XW,"【肥伦秀】肥伦恶搞<em class=""keyword"">川普</em>",11687,17,74,2,1455715408
